WRMACCCATACAYY	#	rap1_2
0.001     #       p-value
8642     #       bonferroni
0        #       derived from leading strand
#        a       c       g       t
W	0.43667	0.063333	0.063333	0.43667
R	0.43667	0.063333	0.39667	0.10333
M	0.43667	0.39667	0.063333	0.10333
A	0.77	0.063333	0.063333	0.10333
C	0.10333	0.73	0.063333	0.10333
C	0.10333	0.73	0.063333	0.10333
C	0.10333	0.73	0.063333	0.10333
A	0.77	0.063333	0.063333	0.10333
T	0.10333	0.063333	0.063333	0.77
A	0.77	0.063333	0.063333	0.10333
C	0.10333	0.73	0.063333	0.10333
A	0.77	0.063333	0.063333	0.10333
Y	0.10333	0.39667	0.063333	0.43667
Y	0.10333	0.39667	0.063333	0.43667
